Case | Material | 18-carat yellow gold, polished and curved bezel
Case | Diameter | 30mm
Case | Thickness | 7.60mm
Case | Crown | Fluted, sharp
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Black sunray fine-brushed dial, paved with one row of diamonds (0.13 ct)
Dial and Hands | Hands | Stick-shaped, faceted
Dial and Hands | Index | 12 applied indexes and numeral "XII"
Movement and Caseback | Movement | High-precision Swiss quartz
Movement and Caseback | Function | Hours and Minutes, set via crown
Bracelet and Buckle | Bracelet | Flexible 18-carat rose gold faceted bracelet, 7 rows
Bracelet and Buckle | Buckle | 18-carat yellow gold folding buckle

Case | Material | 18-carat yellow gold, polished and curved bezel
Case | Diameter | 30mm
Case | Thickness | 7.60mm
Case | Crown | Fluted, sharp
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Black sunray fine-brushed dial, paved with one row of diamonds (0.13 ct)
Dial and Hands | Hands | Stick-shaped, faceted
Dial and Hands | Index | 12 applied indexes and numeral "XII"
Movement and Caseback | Movement | High-precision Swiss quartz
Movement and Caseback | Function | Hours and Minutes, set via crown
Bracelet and Buckle | Bracelet | Flexible 18-carat rose gold faceted bracelet, 7 rows
Bracelet and Buckle | Buckle | 18-carat yellow gold folding buckle

Case | Material | 18-carat yellow gold, polished and curved bezel
Case | Diameter | 30mm
Case | Thickness | 7.60mm
Case | Crown | Fluted, sharp
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Black sunray fine-brushed dial, paved with one row of diamonds (0.13 ct)
Dial and Hands | Hands | Stick-shaped, faceted
Dial and Hands | Index | 12 applied indexes and numeral "XII"
Movement and Caseback | Movement | High-precision Swiss quartz
Movement and Caseback | Function | Hours and Minutes, set via crown
Bracelet and Buckle | Bracelet | Flexible 18-carat rose gold faceted bracelet, 7 rows
Bracelet and Buckle | Buckle | 18-carat yellow gold folding buckle

Case | Material | 18-carat yellow gold, polished and curved bezel
Case | Diameter | 30mm
Case | Thickness | 7.60mm
Case | Crown | Fluted, sharp
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Black sunray fine-brushed dial, paved with one row of diamonds (0.13 ct)
Dial and Hands | Hands | Stick-shaped, faceted
Dial and Hands | Index | 12 applied indexes and numeral "XII"
Movement and Caseback | Movement | High-precision Swiss quartz
Movement and Caseback | Function | Hours and Minutes, set via crown
Bracelet and Buckle | Bracelet | Flexible 18-carat rose gold faceted bracelet, 7 rows
Bracelet and Buckle | Buckle | 18-carat yellow gold folding buckle

Case | Material | 18-carat yellow gold, polished and curved bezel
Case | Diameter | 30mm
Case | Thickness | 7.60mm
Case | Crown | Fluted, sharp
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Black sunray fine-brushed dial, paved with one row of diamonds (0.13 ct)
Dial and Hands | Hands | Stick-shaped, faceted
Dial and Hands | Index | 12 applied indexes and numeral "XII"
Movement and Caseback | Movement | High-precision Swiss quartz
Movement and Caseback | Function | Hours and Minutes, set via crown
Bracelet and Buckle | Bracelet | Flexible 18-carat rose gold faceted bracelet, 7 rows
Bracelet and Buckle | Buckle | 18-carat yellow gold folding buckle

Case | Material | 18-carat yellow gold, polished and curved bezel
Case | Diameter | 30mm
Case | Thickness | 7.60mm
Case | Crown | Fluted, sharp
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Black sunray fine-brushed dial, paved with one row of diamonds (0.13 ct)
Dial and Hands | Hands | Stick-shaped, faceted
Dial and Hands | Index | 12 applied indexes and numeral "XII"
Movement and Caseback | Movement | High-precision Swiss quartz
Movement and Caseback | Function | Hours and Minutes, set via crown
Bracelet and Buckle | Bracelet | Flexible 18-carat rose gold faceted bracelet, 7 rows
Bracelet and Buckle | Buckle | 18-carat yellow gold folding buckle

Case | Material | Stainless steel, polished and fine-brushed
Case | Diameter | 40mm
Case | Thickness | 9.93mm
Case | Crown | Fluted, set with dark blue sapphire
Case | Glass | Curved sapphire crystal with anti reflective treatment
Case | Waterproofness | 30 meters
Dial and Hands | Dial | Chaumet blue translucent lacquer on sunray fine-brushed galvanic with engraved Bayadère stripes motif
Dial and Hands | Hands | Faceted pointed sticks, polished and rhodium plated
Dial and Hands | Index | 11 beveled polished indexes, and Arabic numeral “12”, rhodium plated and applied
Movement and Caseback | Movement | Automatic winding Swiss mechanical
Movement and Caseback | Function | Hours, Minutes, Small Second at 6 & Date, time setting by crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal
Movement and Caseback | Characteristics | 42h power reserve, 27 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Stainless steel brushed bracelet, with polished Bayadère
Bracelet and Buckle | Buckle | Double folding buckle with safety push buttons

Case | Material | Stainless steel, polished and fine-brushed
Case | Diameter | 40mm
Case | Thickness | 9.93mm
Case | Crown | Fluted, set with dark blue sapphire
Case | Glass | Curved sapphire crystal with anti reflective treatment
Case | Waterproofness | 30 meters
Dial and Hands | Dial | Chaumet blue translucent lacquer on sunray fine-brushed galvanic with engraved Bayadère stripes motif
Dial and Hands | Hands | Faceted pointed sticks, polished and rhodium plated
Dial and Hands | Index | 11 beveled polished indexes, and Arabic numeral “12”, rhodium plated and applied
Movement and Caseback | Movement | Automatic winding Swiss mechanical
Movement and Caseback | Function | Hours, Minutes, Small Second at 6 & Date, time setting by crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal
Movement and Caseback | Characteristics | 42h power reserve, 27 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Stainless steel brushed bracelet, with polished Bayadère
Bracelet and Buckle | Buckle | Double folding buckle with safety push buttons

Case | Material | Stainless steel, polished and fine-brushed
Case | Diameter | 40mm
Case | Thickness | 9.93mm
Case | Crown | Fluted, set with dark blue sapphire
Case | Glass | Curved sapphire crystal with anti reflective treatment
Case | Waterproofness | 30 meters
Dial and Hands | Dial | Chaumet blue translucent lacquer on sunray fine-brushed galvanic with engraved Bayadère stripes motif
Dial and Hands | Hands | Faceted pointed sticks, polished and rhodium plated
Dial and Hands | Index | 11 beveled polished indexes, and Arabic numeral “12”, rhodium plated and applied
Movement and Caseback | Movement | Automatic winding Swiss mechanical
Movement and Caseback | Function | Hours, Minutes, Small Second at 6 & Date, time setting by crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal
Movement and Caseback | Characteristics | 42h power reserve, 27 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Stainless steel brushed bracelet, with polished Bayadère
Bracelet and Buckle | Buckle | Double folding buckle with safety push buttons

Case | Material | Stainless steel, polished and fine-brushed
Case | Diameter | 40mm
Case | Thickness | 9.93mm
Case | Crown | Fluted, set with dark blue sapphire
Case | Glass | Curved sapphire crystal with anti reflective treatment
Case | Waterproofness | 30 meters
Dial and Hands | Dial | Chaumet blue translucent lacquer on sunray fine-brushed galvanic with engraved Bayadère stripes motif
Dial and Hands | Hands | Faceted pointed sticks, polished and rhodium plated
Dial and Hands | Index | 11 beveled polished indexes, and Arabic numeral “12”, rhodium plated and applied
Movement and Caseback | Movement | Automatic winding Swiss mechanical
Movement and Caseback | Function | Hours, Minutes, Small Second at 6 & Date, time setting by crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal
Movement and Caseback | Characteristics | 42h power reserve, 27 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Stainless steel brushed bracelet, with polished Bayadère
Bracelet and Buckle | Buckle | Double folding buckle with safety push buttons

