Jomashop values	Normlised	Fix	Attribute			
(Croco-Embossed) eather 	Leather	Leather	 band.material		kind	material
(Transparent) Plexiglas Bangle 	Plexiglass	Plexiglass	 band.material		value	Fabric
"12"" Green Silk Cord "	  		 band.material		attribute	band.material
3 Bracelets included - Black/Brown/Blue 	  		 band.material		alternate	Batik Blues Print Frabric 
AERO 	  		 band.material			Batik Blues Print Frabric (Leather Backed) 
ASA827RG and AS8043RG- Rose Gold Tone AS8044TTR- T 	  		 band.material			Black Palms Print Fabric 
Aero Classic 	  		 band.material			Black Palms Print Fabric (Leather Backed) 
Alcantara 	  		 band.material			Denim Gummy Alligator 
Allpy 	Alloy	Alloy	 band.material			Flemish Baroque Print Frabric 
Band Not Included 	  		 band.material			Nightflakes Print Frabric 
Band not included 	  		 band.material			Tropicalia Print Frabric 
Bangle 	  		 band.material			
Bimaterial 	  		 band.material			
Black Alcantara 	  		 band.material			
Black Dial 	  		 band.material			
Black Diver Pro 	  		 band.material			
Black Diver Pro II 	  		 band.material			
Black Felt 	  		 band.material			
Black Galusha 	  		 band.material			
Black Grosgrain 	  		 band.material			
Black Ion-plated with Silver-tone accents 	  		 band.material			
Black Kevlar 	Kevlar	Kevlar	 band.material			
Black Learher 	Leather	Leather	 band.material			
Black PVD 	  		 band.material			
Black Polyvinyl 	Polyvinyl	Polyvinyl	 band.material			
Black Pro Diver 	  		 band.material			
Black Rolyurethane 	Polyurethane	Polyurethane	 band.material			
Black TR90 Polymer 	Polymer	Polymer	 band.material			
Black Toile de Voile 	  		 band.material			
Black and Yellow Elastomer 	  		 band.material			
Black/White PVD 	  		 band.material			
Blue Gel and extra Clear Gel 	  		 band.material			
Blue Pro Diver 	  		 band.material			
Bracelet 	  		 band.material			
Brown 	  		 band.material			
Brown & Yellow 	  		 band.material			
Brown Galuchat 	  		 band.material			
Brown ingrassata 	  		 band.material			
Brushed/Polished Silvertone and Rose Goldtone 	  		 band.material			
Cavnas with Orange Stitching 	Fabric	Fabric	 band.material			
Chain 	  		 band.material			
"Charm Bracelet ( Key, Leaf, tree, clover, logo) "	  		 band.material			
"Charm Bracelet (Purse, shoe, heart, clov "	  		 band.material			
Chevrol Cable with attached jewelry chain 	  		 band.material			
Chevron Cable with attached jewelry chain 	  		 band.material			
"Chevron cable, textured chevron cable patter "	  		 band.material			
Clear 	  		 band.material			
Clear Lucite 	  		 band.material			
Copper Ionic Plated 	  		 band.material			
Cord 	  		 band.material			
Cotton Twill 	  		 band.material			
Cuoio Nautico 	  		 band.material			
Custom 22mm Silver IP plated 	  		 band.material			
Dark Brown Velour 	  		 band.material			
Dark Green 	  		 band.material			
Dark blue techno silk 	Fabric	Fabric	 band.material			
Demin 	Fabric	Fabric	 band.material			
Diver Pro II 	  		 band.material			
Diver Pro II Black 	  		 band.material			
Diver Pro II Strap Black 	  		 band.material			
Diver Pro III 	  		 band.material			
Dusty Galuchat 	  		 band.material			
Dylan 	  		 band.material			
Elastic 	  		 band.material			
Elastomer 	  		 band.material			
Four Strand Pearl Style 	  		 band.material			
Galuchat 	  		 band.material			
Galusha 	  		 band.material			
Garnet Alligator Pattern 	  		 band.material			
Gel 	  		 band.material			
Gel Strap 	  		 band.material			
Gold-tone Bangle 	  		 band.material			
Grey 	  		 band.material			
Grey Kevlar 	Kevlar	Kevlar	 band.material			
Hardmetal 	Base Metal	Base Metal	 band.material			
High Tech Material 	  		 band.material			
High-Tech Material 	  		 band.material			
Horn-shell Plasteramic 	Plasteramic	Plasteramic	 band.material			
Horne Acetace 	Acetate	Acetate	 band.material			
Horween Genuine Shell 	  		 band.material			
Hunter Green Plasteramic 	Plasteramic	Plasteramic	 band.material			
IPRG 	Red Gold-plated	Red Gold-plated	 band.material			
IPYG 	Yellow Gold-plated	Yellow Gold-plated	 band.material			
Ice (white) Plasteramic 	Plasteramic	Plasteramic	 band.material			
Interchangeable 	  		 band.material			
"Interchangeable : Black, Brown, yellow and white L "	  		 band.material			
Interchangeable Strap and Bracelet 	  		 band.material			
"Interchangeable straps: white, Black, burgundy, re "	  		 band.material			
Iron Chain 	Iron	Iron	 band.material			
Iron chain 	Iron	Iron	 band.material			
Italian Lorica Strap 	  		 band.material			
Ivory silk 	Fabric	Fabric	 band.material			
Kelvar 	Synthetic Fiber	Synthetic Fiber	 band.material			
Light Mint Green 	  		 band.material			
Lilac Gel Strap and extra Clear Gel 	  		 band.material			
Milanese 	  		 band.material			
Mint Green 	  		 band.material			
Mori Moss (Environmentally Friendly) 	  		 band.material			
Multi-Strand Cultured Akoya Pearl 	Pearl	Pearl	 band.material			
Multi-colored Bead 	  		 band.material			
